freebsd/man3/acl_from_text.3     acl_from_text
freebsd/man3/acl_get.3           acl_get_fd,acl_get_fd_np,acl_get_file,acl_get_link_np
freebsd/man3/acl_get_brand_np.3  acl_get_brand_np
freebsd/man3/acl_get_entry.3     acl_get_entry
freebsd/man3/acl_get_entry_type_np.3 acl_get_entry_type_np
freebsd/man3/acl_get_flag_np.3   acl_get_flag_np
freebsd/man3/acl_get_flagset_np.3 acl_get_flagset_np
freebsd/man3/acl_get_perm_np.3   acl_get_perm_np
freebsd/man3/acl_get_permset.3   acl_get_permset
freebsd/man3/acl_get_qualifier.3 acl_get_qualifier
freebsd/man3/acl_get_tag_type.3  acl_get_tag_type
freebsd/man3/acl_init.3          acl_init
freebsd/man3/acl_is_trivial_np.3 acl_is_trivial_np
freebsd/man3/acl_set.3           acl_set_fd,acl_set_fd_np,acl_set_file,acl_set_link_np
freebsd/man3/acl_set_entry_type_np.3 acl_set_entry_type_np
freebsd/man3/acl_set_flagset_np.3 acl_set_flagset_np
freebsd/man3/acl_set_permset.3   acl_set_permset
freebsd/man3/acl_set_qualifier.3 acl_set_qualifier
freebsd/man3/acl_set_tag_type.3  acl_set_tag_type
freebsd/man3/acl_strip_np.3      acl_strip_np
freebsd/man3/acl_to_text.3       acl_to_text,acl_to_text_np
freebsd/man3/acl_valid.3         acl_valid,acl_valid_fd_np,acl_valid_file_np,acl_valid_link_np
freebsd/man3/alarm.3             alarm
freebsd/man3/alloca.3            alloca
freebsd/man3/arc4random.3        arc4random,arc4random_buf,arc4random_uniform
freebsd/man3/at_quick_exit.3     at_quick_exit
freebsd/man3/atexit.3            atexit
freebsd/man3/atof.3              atof,.Tn,ASCII,string,to,double
freebsd/man3/atoi.3              atoi,.Tn,ASCII,string,to,integer
freebsd/man3/atol.3              atol,.Tn,ASCII,string,to,.Vt,long,or,.Vt,"long,long",integer
freebsd/man3/basename.3          basename
freebsd/man3/bcmp.3              bcmp
freebsd/man3/bcopy.3             bcopy
freebsd/man3/bindresvport.3      bindresvport,bindresvport_sa
freebsd/man3/bsearch.3           bsearch
freebsd/man3/bstring.3           bcmp,bcopy,bzero,memccpy,memchr,memcmp,memcpy,memmove,memset
freebsd/man3/btowc.3             btowc,wctob
freebsd/man3/btree.3             btree
freebsd/man3/byteorder.3         htonl,htons,ntohl,ntohs
freebsd/man3/bzero.3             bzero,explicit_bzero
freebsd/man3/cap_rights_get.3    cap_rights_get
freebsd/man3/cap_rights_init.3   cap_rights_init,cap_rights_set,cap_rights_clear,cap_rights_is_set,cap_rights_is_valid,cap_rights_merge,cap_rights_remove,cap_rights_contains
freebsd/man3/cap_sandboxed.3     cap_sandboxed
freebsd/man3/catclose.3          catclose
freebsd/man3/catgets.3           catgets
freebsd/man3/catopen.3           catopen
freebsd/man3/check_utility_compat.3 check_utility_compat
freebsd/man3/clock.3             clock
freebsd/man3/clock_getcpuclockid.3 clock_getcpuclockid
freebsd/man3/confstr.3           confstr
freebsd/man3/ctermid.3           ctermid
freebsd/man3/ctype.3             digittoint,isalnum,isalpha,isascii,isblank,iscntrl,isdigit,isgraph,ishexnumber,isideogram,islower,isnumber,isphonogram,isprint,ispunct,isrune,isspace,isspecial,isupper,isxdigit,toascii,tolower,toupper
